country,code,year,share_animal_protein,gdp,population,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,World bank income group 2017
Albania,alb,2005,6.800278358,7080,3141800,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2006,7.061295972,7545,3156607,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2007,7.018181818,8035,3169665,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2008,7.233118426,8659,3181397,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2009,7.220848647,8954,3192723,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2010,7.322496749,9272,3204284,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2011,7.268199234,9484,3215988,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2012,7.438442211,9592,3227373,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Albania,alb,2013,7.443783276,9660,3238316,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income
Algeria,dza,2000,2.657183499,10528,30533827,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2001,2.669438669,10690,30982214,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2002,2.739145299,11129,31441848,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2003,2.678787879,11762,31913462,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2004,2.920656177,12088,32396048,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2005,2.954699121,12619,32888449,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2006,2.872333443,12639,33391954,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2007,2.881946728,12842,33906605,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2008,2.797900262,12910,34428028,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2009,2.929903537,12880,34950168,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2010,2.869509866,13092,35468208,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2011,3.112216351,13204,35980193,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2012,3.075794621,13379,36485828,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Algeria,dza,2013,3.03276699,13494,36983924,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income
Angola,ago,2000,2.683035714,3659,13926373,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2001,2.749590835,3720,14388244,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2002,2.897127937,4112,14890474,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2003,2.733232476,4187,15419943,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2004,2.500492611,4481,15957460,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2005,2.551757342,5136,16489021,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2006,2.612553091,6024,17010366,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2007,2.766682006,7173,17525367,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2008,2.854342984,7936,18037964,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2009,2.568823274,7900,18555115,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2010,2.717270789,7940,19081912,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2011,2.878271708,8016,19618432,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2012,3.092281879,8190,20162517,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Angola,ago,2013,2.976142337,8508,20714494,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1/12/1976,Sub-Saharan Africa,Lower middle income
Argentina,arg,2000,8.310429448,15119,36930709,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2001,8.01618929,14298,37302116,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2002,7.334900907,12609,37657340,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2003,7.476237953,13582,38001251,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2004,7.357992074,14650,38340778,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2005,7.848084969,15776,38681174,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2006,8.037251124,16876,39023850,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2007,8.062321145,18226,39368066,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2008,8.09119696,18779,39714298,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2009,8.088122605,17490,40062470,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2010,8.107765452,19068,40412376,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2011,8.269534957,20003,40764561,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2012,8.301532687,19599,41118986,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Argentina,arg,2013,8.292350573,19873,41473982,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income
Armenia,arm,2000,3.549194991,3667,3076098,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2001,3.653416704,4015,3065810,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2002,4.18061089,4614,3061067,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2003,4.205592105,5275,3060554,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2004,4.093970243,5832,3062612,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2005,4.505247376,6660,3065954,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2006,4.558578165,7547,3069844,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2007,5.064831583,8591,3074181,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2008,5.398396654,9194,3079087,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2009,5.386307201,7899,3084979,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2010,5.663294798,8079,3092072,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2011,5.681492109,8465,3100236,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2012,5.872310895,9077,3108972,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Armenia,arm,2013,5.908469945,9385,3117722,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income
Australia,aus,2000,9.076563022,39200,19164351,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2001,8.879265092,39673,19382188,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2002,8.872278193,40792,19604051,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2003,9.033505155,41544,19840120,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2004,8.636959371,42711,20103822,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2005,9.045498548,43501,20403520,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2006,8.88973384,44001,20744295,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2007,9.159474672,45145,21119988,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2008,8.656455142,45260,21513817,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2009,8.492979719,45247,21902300,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2010,8.682228447,45684,22268384,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2011,8.879827,46132,22605732,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2012,8.632483881,46999,22918688,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Australia,aus,2013,8.752136752,47250,23213944,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income
Austria,aut,2000,6.961889426,36363,8004712,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2001,6.959227468,36713,8038480,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2002,7.060240964,37138,8083059,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2003,6.661124965,37237,8134235,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2004,6.569051581,38008,8185553,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2005,6.653846154,38558,8232196,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2006,6.355471901,39653,8273208,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2007,6.480064223,40956,8309783,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2008,6.381490449,41460,8341806,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2009,6.444265377,39781,8369639,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2010,6.502685285,40450,8393644,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2011,6.508165997,41446,8413429,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2012,6.516180797,41565,8428915,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Austria,aut,2013,6.673036093,41375,8441263,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
Azerbaijan,aze,2000,3.139351446,4739,8110723,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2001,2.905103332,5005,8191464,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2002,2.935392117,5372,8280252,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2003,2.992952232,5890,8376733,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2004,2.901098901,6434,8479668,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2005,3.008812125,8053,8587902,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2006,2.834331337,10717,8701719,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2007,2.902947996,13253,8821012,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2008,3.009914078,14530,8943600,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2009,3.469782972,15716,9066604,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2010,3.821056172,16327,9187783,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2011,3.906548207,16176,9306023,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2012,3.815384615,16359,9421233,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Azerbaijan,aze,2013,3.8588839,17133,9533445,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income
Bangladesh,bgd,2000,1.183348096,1705,129592275,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2001,1.173745174,1758,131944584,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2002,1.248594898,1815,134266428,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2003,1.25787234,1891,136514768,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2004,1.287993283,1979,138633401,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2005,1.350758853,2076,140587922,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2006,1.362563238,2191,142353501,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2007,1.383533306,2307,143956805,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2008,1.428331936,2410,145478300,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2009,1.525773196,2511,147030145,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2010,1.582615826,2632,148692131,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2011,1.612186085,2772,150493658,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2012,1.621355236,2914,152408774,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Bangladesh,bgd,2013,1.619591837,3057,154393847,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income
Barbados,brb,2000,6.629550321,11210,267511,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2001,6.758377425,10891,268192,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2002,6.8823948680000004,10929,268813,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2003,6.775193798,11109,269389,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2004,6.836101083,11213,269947,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2005,7.218836565,11615,270503,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2006,6.983791402,12223,271062,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2007,7.359944942,12380,271618,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2008,6.948682386,12385,272180,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2009,6.778961843,11840,272750,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2010,6.895840495,11828,273331,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2011,6.756569848,11870,273925,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2012,6.832417582,11860,274530,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Barbados,brb,2013,6.880490296,11809,275141,Barbados,americas,america_north,america,g77,13.16667,-59.53333,9/12/1966,Latin America & Caribbean,High income
Belarus,blr,2000,5.976612095,8018,10057810,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2001,6.300722259,8424,10009810,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2002,6.365649111,8890,9963383,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2003,6.550868486,9561,9917927,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2004,6.32885212,10708,9872110,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2005,6.545698025,11779,9825102,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2006,6.504539559,13014,9776823,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2007,6.434400502,14182,9728228,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2008,6.3275,15668,9680690,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2009,6.735764555,15719,9636016,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2010,6.745932416,16974,9595421,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2011,6.648235294,17918,9559441,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2012,6.808235294,18251,9527498,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belarus,blr,2013,6.764307692,18464,9498290,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income
Belgium,bel,2000,6.307899703,34231,10175684,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2001,6.723245263,34391,10211264,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2002,6.604427847,34846,10254025,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2003,6.456820016,34969,10303108,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2004,6.451370231,36084,10356993,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2005,6.511302476,36638,10414209,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2006,6.540365985,37306,10474993,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2007,6.685698896,38292,10538758,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2008,6.373851972,38274,10602167,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2009,6.063294563,37100,10660938,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2010,6.153763151,37791,10712066,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2011,6.055913978,38130,10754056,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
Belgium,bel,2012,6.290174966,37906,10787788,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income
